Date,Open,High,Low,Close,Volume
1896-06-30,29.39,29.43,25.73,26.18
1896-09-30,25.05,26.51,20.76,26.11
1896-12-31,26.08,32.52,25.16,29.3
1897-03-31,29.24,31.32,28.34,28.59
1897-06-30,28.8,32.31,27.88,31.94
1897-09-30,32.02,40.43,31.58,36.92
1897-12-31,37.33,38.14,33.06,35.79
1898-03-31,35.71,36.7,30.42,32.9
1898-06-30,31.97,38.9,31.34,38.11
1898-09-30,38.39,44.16,37.86,38.7
1898-12-31,38.83,43.83,37.34,43.83
1899-03-31,43.75,54.1,43.75,53.83
1899-06-30,55.06,55.97,48.89,50.97
1899-09-30,51.77,56.21,51.1,52.78
1899-12-31,51.39,54.9,42.2,47.6
1900-03-31,49.34,49.51,44.26,47.36
1900-06-30,47.47,47.91,38.88,39.71
1900-09-30,40.18,42.75,38.36,39.21
1900-12-31,39.8,51.45,39.49,51.21
1901-03-31,51.02,51.26,47.02,50.28
1901-06-30,51.36,56.68,48.8,55.38
1901-09-30,55.83,55.83,47.96,48.28
1901-12-31,47.85,48.18,44.56,46.76
1902-03-31,46.58,48.9,45.32,48.66
1902-06-30,48.67,49.57,46.11,46.58
1902-09-30,46.53,49.08,46.4,47.91
1902-12-31,48.13,48.22,43.14,46.56
1903-03-31,46.79,49.03,45.53,46.09
1903-06-30,45.97,46.76,41.03,42.79
1903-09-30,42.59,42.59,32.66,33.17
1903-12-31,34.08,35.74,30.53,35.57
1904-03-31,34.6,36.57,33.65,35.58
1904-06-30,35.26,36.2,34.35,35.67
1904-09-30,35.71,41.71,35.71,41.71
1904-12-31,42.48,53.04,41.71,50.73
1905-03-31,50.98,57.95,49.8,57.95
1905-06-30,58.76,60.66,51.69,55.67
1905-09-30,57,59.98,56.51,58.95
1905-12-31,59.51,69.93,58.54,69.93
1906-03-31,68.8,74.6,67.28,69.96
1906-06-30,70.86,71.11,62.61,63.22
1906-09-30,62.37,69.58,61.69,68.79
1906-12-31,69.36,70.07,66.91,68.33
1907-03-31,68.26,69.8,54.6,58.05
1907-06-30,59.61,61.58,55.98,57.94
1907-09-30,58.86,59.77,49.05,49.05
1907-12-31,49.21,49.21,38.39,42.55
1908-03-31,43.17,50.64,42.46,48.89
1908-06-30,49.13,54.41,48.55,52.57
1908-09-30,52.7,61.85,52.7,57.89
1908-12-31,57.58,64.01,57.58,62.39
1909-03-31,61.75,62.97,57.87,62.37
1909-06-30,61.83,68.22,61.83,66.83
1909-09-30,67.32,72.51,67.22,72.1
1909-12-31,72.69,72.81,69.45,71.74
1910-03-31,71.22,71.22,61.58,64.97
1910-06-30,64.97,66.89,58.79,58.79
1910-09-30,59.13,59.13,53.32,57.74
1910-12-31,58.43,62.3,57.71,58.96
1911-03-31,59.47,62.26,59.17,60.31
1911-06-30,60.35,63.05,59.07,62.27
1911-09-30,62.02,62.63,52.83,54.43
1911-12-31,55.59,59.61,54.19,59.08
1912-03-31,59.65,64.18,58.08,63.9
1912-06-30,64.49,65.97,63.44,65.97
1912-09-30,66.16,68.19,63.71,68.19
1912-12-31,68.01,68.17,61.74,63.64
1913-03-31,64.04,64.15,56.67,58.61
1913-06-30,59.33,60.25,52.23,54.24
1913-09-30,54.63,60.14,54.49,58.21
1913-12-31,58.51,58.98,54.51,57.06
1914-03-31,56.92,60.42,56.92,59.67
1914-06-30,59.72,59.73,56.14,58.42
1914-09-30,58.18,59.24,51.73,51.73
1914-12-31,56.76,56.76,53.17,54.58
