Date,Open,High,Low,Close,Volume
1789-06-30,0.51,0.51,0.51,0.51
1789-09-30,0.5,0.51,0.5,0.51
1789-12-31,0.51,0.51,0.5,0.5
1790-03-31,0.5,0.51,0.49,0.5
1790-06-30,0.5,0.53,0.49,0.53
1790-09-30,0.53,0.55,0.53,0.55
1790-12-31,0.55,0.57,0.55,0.57
1791-03-31,0.57,0.59,0.57,0.59
1791-06-30,0.6,0.6,0.6,0.6
1791-09-30,0.6,0.62,0.6,0.62
1791-12-31,0.62,0.63,0.62,0.63
1792-03-31,0.63,0.64,0.62,0.62
1792-06-30,0.62,0.62,0.58,0.58
1792-09-30,0.58,0.61,0.56,0.56
1792-12-31,0.56,0.56,0.52,0.54
1793-03-31,0.54,0.58,0.54,0.58
1793-06-30,0.58,0.61,0.58,0.6
1793-09-30,0.6,0.6,0.6,0.6
1793-12-31,0.6,0.62,0.6,0.62
1794-03-31,0.62,0.66,0.62,0.66
1794-06-30,0.66,0.7,0.66,0.7
1794-09-30,0.7,0.76,0.68,0.74
1794-12-31,0.74,0.76,0.74,0.76
1795-03-31,0.76,0.78,0.76,0.77
1795-06-30,0.76,0.78,0.76,0.78
1795-09-30,0.78,0.78,0.75,0.75
1795-12-31,0.75,0.77,0.73,0.73
1796-03-31,0.73,0.73,0.71,0.71
1796-06-30,0.71,0.72,0.67,0.67
1796-09-30,0.68,0.68,0.65,0.65
1796-12-31,0.65,0.65,0.63,0.63
1797-03-31,0.63,0.63,0.62,0.62
1797-06-30,0.62,0.62,0.61,0.61
1797-09-30,0.61,0.62,0.58,0.59
1797-12-31,0.59,0.59,0.58,0.58
1798-03-31,0.58,0.59,0.57,0.59
1798-06-30,0.62,0.62,0.57,0.62
1798-09-30,0.62,0.67,0.62,0.67
1798-12-31,0.67,0.7,0.67,0.69
1799-03-31,0.69,0.71,0.69,0.71
1799-06-30,0.71,0.73,0.71,0.73
1799-09-30,0.74,0.74,0.73,0.74
1799-12-31,0.74,0.79,0.74,0.79
1800-03-31,0.79,0.86,0.76,0.85
1800-06-30,0.86,0.92,0.86,0.92
1800-09-30,0.93,1.03,0.93,1
1800-12-31,1,1.02,1,1
1801-03-31,1,1,0.91,0.91
1801-06-30,0.9,0.96,0.72,0.81
1801-09-30,0.8,0.8,0.71,0.71
1801-12-31,0.7,0.7,0.63,0.63
1802-03-31,0.63,0.63,0.59,0.6
1802-06-30,0.6,0.61,0.6,0.61
1802-09-30,0.61,0.64,0.61,0.63
1802-12-31,0.63,0.65,0.63,0.65
1803-03-31,0.65,0.7,0.65,0.68
1803-06-30,0.69,0.71,0.69,0.71
1803-09-30,0.71,0.72,0.71,0.72
1803-12-31,0.72,0.75,0.72,0.75
1804-03-31,0.76,0.83,0.76,0.83
1804-06-30,0.84,1.02,0.84,0.93
1804-09-30,0.93,1.06,0.86,1.06
1804-12-31,1.07,1.11,1.07,1.11
1805-03-31,1.11,1.14,1.1,1.12
1805-06-30,1.12,1.12,1.11,1.12
1805-09-30,1.12,1.14,1.09,1.09
1805-12-31,1.09,1.1,1.06,1.1
1806-03-31,1.1,1.19,1.1,1.19
1806-06-30,1.2,1.29,1.17,1.24
1806-09-30,1.25,1.31,1.25,1.29
1806-12-31,1.28,1.31,1.2,1.2
1807-03-31,1.2,1.2,1.03,1.03
1807-06-30,1.01,1.01,0.86,0.86
1807-09-30,0.85,0.98,0.65,0.72
1807-12-31,0.71,0.71,0.65,0.65
1808-03-31,0.64,0.7,0.64,0.67
1808-06-30,0.68,0.74,0.64,0.74
1808-09-30,0.75,0.83,0.75,0.83
1808-12-31,0.84,0.94,0.81,0.9
