date,quarter,RGDP,RCon,RInv,Hours,Infla,InRt,Productivity,labshare,Rwage,TFP,SP500In,Rinr
1960-01-01,1960 Q1,9.81290617430489,9.15447608850531,8.47178633904965,4.1566096272021245,0.0040526291667649485,0.03933333333333334,33.45,4.735803633623295,1.2257518470490572,-0.11272087006411878,4.01349597435878,0.03528070416656839
1960-04-01,1960 Q2,9.801454826970977,9.163088973399296,8.402213856445856,4.167095169636826,0.0024718910485436634,0.03696666666666667,32.931,4.755889270335082,1.2614748069617931,-0.12069978523778481,4.041646773221651,0.034494775618123
1960-07-01,1960 Q3,9.801399454452342,9.156207365819373,8.384570529085023,4.1645036548136405,0.003486418535086998,0.029366666666666666,33.13,4.751976821359518,1.251537605047714,-0.09706171284313124,3.9800554158199732,0.02588024813157967
1960-10-01,1960 Q4,9.784478765953926,9.160126608246587,8.285463535184329,4.153429351237505,0.002935979819541462,0.02296666666666667,32.694,4.766395779487311,1.2792042046582952,-0.06251390538924231,4.062337766087015,0.02003068684712521
1961-01-01,1961 Q1,9.787852208937204,9.164742212836822,8.279661914183619,4.1468537910648005,0.002151566691831151,0.020033333333333334,33.116,4.761481387349815,1.2614648380732556,-0.06892144546642182,4.175309921045206,0.01788176664150218
1961-04-01,1961 Q2,9.800845560564248,9.171714754929075,8.328447445874442,4.141015007576027,0.00232565178318566,0.017333333333333333,33.988,4.747442019428079,1.2214344982867844,-0.04175993424823165,4.16883341421284,0.015007681550147672
1961-07-01,1961 Q3,9.81569405158546,9.170425282451749,8.383113857047654,4.140544619632726,0.0025579265010382364,0.016833333333333332,34.566,4.737241763600983,1.1943712236226818,-0.01582455034697146,4.200654626915515,0.014275406832295095
1961-10-01,1961 Q4,9.830809327038143,9.180159037755269,8.405608079219865,4.148044075394615,0.00314381728223179,0.024,34.857,4.735610556321564,1.18435657845273,-0.04929529172487751,4.27039650600246,0.02085618271776821
1962-01-01,1962 Q1,9.844957610345725,9.185291700331655,8.440127602672181,4.149552084422848,0.005139273502547291,0.024566666666666667,35.431,4.730656806029507,1.1630696628820751,-0.010555513939516587,4.242045918369452,0.019427393164119375
1962-04-01,1962 Q2,9.850455905984322,9.194030019860241,8.434829844951716,4.153300041880073,0.001589591456554165,0.026066666666666665,35.288,4.737723600547925,1.1741806377452864,-0.026857454169882642,4.00277736869661,0.0244770752101125
1962-07-01,1962 Q3,9.858803944909488,9.198770848834675,8.442307319016905,4.151513873615077,0.002115532316297308,0.028466666666666668,35.877,4.726989509309186,1.1468930876544055,0.02215280464113328,4.030161533445187,0.02635113435036936
1962-10-01,1962 Q4,9.858019364488982,9.206243318818089,8.427950657296662,4.14414927353379,0.0020524856934193317,0.029233333333333333,36.149,4.729218001313056,1.141568715608186,0.06691070528262681,4.144720769547168,0.027180847639914
1963-01-01,1963 Q1,9.865629909979887,9.2068180706724565,8.458925085245381,4.143110726610126,0.004384049108534449,0.029666666666666668,36.255,4.7308861173029255,1.140308814479369,0.06090693490352136,4.198254025612612,0.025282617558132218
1963-04-01,1963 Q2,9.873543676163056,9.210598648240293,8.475062653735465,4.148030264094569,0.0017482521935294133,0.029633333333333334,36.528,4.727865580672113,1.1297864908846729,0.06391332574365285,4.23945449739721,0.02788508113980392
1963-07-01,1963 Q3,9.891465577308802,9.224265076351292,8.493948468383012,4.146824869805955,0.001338259880291695,0.0333,37.428,4.7140245909001735,1.0916055034865069,0.11573649848259676,4.272490747605575,0.03196174011970831
1963-10-01,1963 Q4,9.894144037532975,9.22320019802317,8.504439877222248,4.148858621746869,0.008049848015045815,0.03453333333333333,37.4,4.719962085988446,1.0982913815679605,0.11315009793265578,4.317754744653741,0.026483485318287515
1964-01-01,1964 Q1,9.911902051137146,9.238489523158895,8.531641802296468,4.160632595738321,0.0031673843751029405,0.034633333333333335,37.686,4.708241082467281,1.0789524097669827,0.16551443847757333,4.369194655858504,0.03146594895823039
1964-04-01,1964 Q2,9.919557732713622,9.251788843902755,8.535179980578478,4.169982121215434,0.0022972672634651212,0.0349,37.896,4.710781670150688,1.075936104529237,0.1408917386974817,4.4029315953537775,0.03260273273653488
1964-07-01,1964 Q3,9.931443128549459,9.26405691825267,8.550919398262128,4.16472034512169,0.0040075624713206285,0.03456666666666666,38.287,4.708728077895542,1.063617664914312,0.17151335807735127,4.432957363342425,0.030559104195346035
1964-10-01,1964 Q4,9.931005438572868,9.268785348434271,8.544890319374844,4.164956538164187,0.004503613347013286,0.03576666666666667,37.919,4.72244642657888,1.0869941208478053,0.16432729342167599,4.43970574626056,0.031263053319653386
